time,susceptible,infected,recovered,total,deaths,city1_closed,city2_closed,city3_closed
0,2999,1,0,3000,0,0,0,0
1,2998,2,0,3000,0,0,0,0
2,2997,3,0,3000,0,0,0,0
3,2995,5,0,3000,0,0,0,0
4,2992,8,0,3000,0,0,0,0
5,2988,12,0,3000,0,0,0,0
6,2985,15,0,3000,0,0,0,0
7,2979,21,0,3000,0,0,0,0
8,2964,35,1,3000,0,1,0,0
9,2943,56,1,3000,0,1,0,0
10,2917,82,1,3000,0,1,0,0
11,2888,111,1,3000,0,1,0,0
12,2838,161,1,3000,0,1,1,0
13,2772,227,1,3000,0,1,1,1
14,2700,298,2,3000,0,1,1,1
15,2580,417,3,3000,0,1,1,1
16,2441,554,5,3000,0,1,1,1
17,2268,724,8,3000,0,1,1,1
18,2061,927,12,3000,0,1,1,1
19,1855,1130,15,3000,0,1,1,1
20,1622,1357,21,3000,0,1,1,1
21,1355,1609,36,3000,0,1,1,1
22,1108,1837,55,3000,0,1,1,1
23,868,2054,78,3000,0,1,1,1
24,679,2216,105,3000,0,1,1,1
25,510,2335,155,3000,0,1,1,1
26,396,2385,219,3000,0,1,1,1
27,306,2408,286,3000,0,1,1,1
28,235,2359,405,2999,1,1,1,1
29,196,2262,540,2998,2,1,1,1
30,164,2126,707,2997,3,1,1,1
31,146,1941,904,2991,9,1,1,1
32,133,1756,1098,2987,13,1,1,1
33,129,1533,1320,2982,18,1,1,1
34,123,1281,1571,2975,25,1,1,1
35,119,1039,1814,2972,28,1,1,1
36,115,802,2046,2963,37,1,1,1
37,110,619,2230,2959,41,1,1,1
38,108,457,2393,2958,42,1,1,1
39,106,347,2503,2956,44,1,1,1
40,105,256,2589,2950,50,1,1,1
41,104,187,2659,2950,50,1,1,1
42,104,146,2699,2949,51,1,1,1
43,103,112,2734,2949,51,1,1,1
44,103,91,2755,2949,51,1,1,1
45,102,71,2776,2949,51,1,1,1
46,100,65,2784,2949,51,1,1,1
47,100,51,2798,2949,51,1,1,1
48,100,45,2804,2949,51,1,1,1
49,100,39,2810,2949,51,1,1,1
50,100,31,2818,2949,51,1,1,1
51,100,24,2825,2949,51,1,1,1
52,100,18,2831,2949,51,1,1,1
53,100,15,2834,2949,51,1,1,1
54,100,13,2836,2949,51,1,1,1
55,100,12,2837,2949,51,1,1,1
56,100,9,2840,2949,51,1,1,1
57,100,9,2840,2949,51,1,1,1
58,100,8,2841,2949,51,1,1,1
59,100,4,2845,2949,51,1,1,1
60,100,4,2845,2949,51,1,1,1
61,100,3,2846,2949,51,1,1,1
62,100,3,2846,2949,51,1,1,1
63,100,3,2846,2949,51,1,1,1
64,100,3,2846,2949,51,1,1,1
65,100,3,2846,2949,51,1,1,1
66,100,3,2846,2949,51,1,1,1
67,100,3,2846,2949,51,1,1,1
68,100,3,2846,2949,51,1,1,1
69,100,3,2846,2949,51,1,1,1
70,100,2,2847,2949,51,1,1,1
71,100,2,2847,2949,51,1,1,1
72,100,2,2847,2949,51,1,1,1
73,100,1,2848,2949,51,1,1,1
74,100,1,2848,2949,51,1,1,1
75,100,1,2848,2949,51,1,1,1
76,100,1,2848,2949,51,1,1,1
77,100,1,2848,2949,51,1,1,1
78,100,1,2848,2949,51,1,1,1
79,100,0,2849,2949,51,1,1,1
80,100,0,2849,2949,51,1,1,1
